txt,pn,A,B,C,device
178_1b2_Lr_mc_AKGC417L.txt,178,1b2,Lr,mc,AKGC417L
172_2b5_Al_mc_AKGC417L.txt,172,2b5,Al,mc,AKGC417L
158_1p3_Pl_mc_AKGC417L.txt,158,1p3,Pl,mc,AKGC417L
223_1b1_Pr_sc_Meditron.txt,223,1b1,Pr,sc,Meditron
163_8b3_Pr_mc_AKGC417L.txt,163,8b3,Pr,mc,AKGC417L
156_2b3_Ar_mc_AKGC417L.txt,156,2b3,Ar,mc,AKGC417L
151_2p4_Ll_mc_AKGC417L.txt,151,2p4,Ll,mc,AKGC417L
130_3p2_Ar_mc_AKGC417L.txt,130,3p2,Ar,mc,AKGC417L
174_1p2_Pr_mc_AKGC417L.txt,174,1p2,Pr,mc,AKGC417L
162_1b2_Lr_mc_AKGC417L.txt,162,1b2,Lr,mc,AKGC417L
111_1b2_Tc_sc_Meditron.txt,111,1b2,Tc,sc,Meditron
211_1p5_Ar_mc_AKGC417L.txt,211,1p5,Ar,mc,AKGC417L
107_2b5_Lr_mc_AKGC417L.txt,107,2b5,Lr,mc,AKGC417L
172_1b3_Lr_mc_AKGC417L.txt,172,1b3,Lr,mc,AKGC417L
135_2b3_Ar_mc_LittC2SE.txt,135,2b3,Ar,mc,LittC2SE
221_2b3_Pr_mc_LittC2SE.txt,221,2b3,Pr,mc,LittC2SE
160_1b4_Lr_mc_AKGC417L.txt,160,1b4,Lr,mc,AKGC417L
201_1b3_Al_sc_Meditron.txt,201,1b3,Al,sc,Meditron
170_1b4_Lr_mc_AKGC417L.txt,170,1b4,Lr,mc,AKGC417L
156_5b3_Pl_mc_AKGC417L.txt,156,5b3,Pl,mc,AKGC417L
130_2b2_Ll_mc_AKGC417L.txt,130,2b2,Ll,mc,AKGC417L
219_2b3_Tc_mc_LittC2SE.txt,219,2b3,Tc,mc,LittC2SE
130_3b4_Pl_mc_AKGC417L.txt,130,3b4,Pl,mc,AKGC417L
141_1b3_Al_mc_LittC2SE.txt,141,1b3,Al,mc,LittC2SE
130_2b4_Pl_mc_AKGC417L.txt,130,2b4,Pl,mc,AKGC417L
154_1b3_Lr_mc_AKGC417L.txt,154,1b3,Lr,mc,AKGC417L
134_2b1_Al_mc_LittC2SE.txt,134,2b1,Al,mc,LittC2SE
186_2b4_Ar_mc_AKGC417L.txt,186,2b4,Ar,mc,AKGC417L
113_1b1_Pr_sc_Litt3200.txt,113,1b1,Pr,sc,Litt3200
133_2p2_Ar_mc_AKGC417L.txt,133,2p2,Ar,mc,AKGC417L
158_1p3_Ll_mc_AKGC417L.txt,158,1p3,Ll,mc,AKGC417L
176_1b3_Ll_mc_AKGC417L.txt,176,1b3,Ll,mc,AKGC417L
154_1b3_Ll_mc_AKGC417L.txt,154,1b3,Ll,mc,AKGC417L
130_3p2_Pr_mc_AKGC417L.txt,130,3p2,Pr,mc,AKGC417L
104_1b1_Al_sc_Litt3200.txt,104,1b1,Al,sc,Litt3200
200_2p2_Ar_mc_AKGC417L.txt,200,2p2,Ar,mc,AKGC417L
193_7b3_Ar_mc_AKGC417L.txt,193,7b3,Ar,mc,AKGC417L
186_3b3_Pl_mc_AKGC417L.txt,186,3b3,Pl,mc,AKGC417L
135_2b3_Tc_mc_LittC2SE.txt,135,2b3,Tc,mc,LittC2SE
225_1b1_Pl_sc_Meditron.txt,225,1b1,Pl,sc,Meditron
160_1b4_Ar_mc_AKGC417L.txt,160,1b4,Ar,mc,AKGC417L
143_1b1_Al_sc_Meditron.txt,143,1b1,Al,sc,Meditron
130_1p3_Pl_mc_AKGC417L.txt,130,1p3,Pl,mc,AKGC417L
163_8b3_Pl_mc_AKGC417L.txt,163,8b3,Pl,mc,AKGC417L
186_2b2_Tc_mc_AKGC417L.txt,186,2b2,Tc,mc,AKGC417L
183_1b1_Pl_sc_Meditron.txt,183,1b1,Pl,sc,Meditron
147_2b4_Pl_mc_AKGC417L.txt,147,2b4,Pl,mc,AKGC417L
154_3b3_Al_mc_AKGC417L.txt,154,3b3,Al,mc,AKGC417L
172_1b3_Tc_mc_AKGC417L.txt,172,1b3,Tc,mc,AKGC417L
221_2b2_Ar_mc_LittC2SE.txt,221,2b2,Ar,mc,LittC2SE
104_1b1_Pr_sc_Litt3200.txt,104,1b1,Pr,sc,Litt3200
130_1p2_Pr_mc_AKGC417L.txt,130,1p2,Pr,mc,AKGC417L
163_2b2_Lr_mc_AKGC417L.txt,163,2b2,Lr,mc,AKGC417L
162_2b3_Pl_mc_AKGC417L.txt,162,2b3,Pl,mc,AKGC417L
156_8b3_Al_mc_AKGC417L.txt,156,8b3,Al,mc,AKGC417L
211_2p4_Tc_mc_AKGC417L.txt,211,2p4,Tc,mc,AKGC417L
160_1b4_Tc_mc_AKGC417L.txt,160,1b4,Tc,mc,AKGC417L
